,RFxName,RFx_Received_Date__c,RFx_Type__c,Industry_x__c,Opportunity__c,AccountName,Division__c,USD_Price__c,StageName,Industry__c,Account_Country__c,Type,Name
66,Hampton Roads Sanitation - Manage Security Services,2020-09-24 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ZnmXAAS,"Wells Fargo, 1/11/21 Unstructured Data RFP - Cloned",Enterprise Content Services,1017450.0,4. Develop Solution,Banking,US,Existing Customer - New Functionality,Sales
67,JTI - Documentum Lifesciences - RFP,2020-12-07 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000016Y9vgAAC,JTI_DocLS_eTMF,Enterprise Content Services,1006300.0,2. Gain Access,Tobacco,CH,Existing Customer - New Functionality,Cloud
68,Alshaya -  MS AC AO ACat,2020-09-02 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000015ZaO3AAK,Alshaya-BN,Enterprise Content Services,1000000.0,4. Develop Solution,Retail,KW,New Customer,Cloud
69,General Motors - IAM,2020-11-23 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z0000169jyvAAA,General Motors: Services to Enhanced ASN for Electric Vehicle,Business Network,1000000.0,5. Propose Solution,Automotive,US,Existing Customer - New Functionality,Cloud
70,Bath & Body Works (BBW) - BBW Digital Asset Management,2021-03-10 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000017dyRCAAY,L Brands Inc- BBW OTMM,CEM Sales,995085.0,4. Develop Solution,Retail,US,New Customer,Cloud
71,GED Solution RFP,2020-12-03 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016AGU8AAO,Engie - Storengy GED - On Cloud,Enterprise Content Services,994152.81,Lost,Oil & Gas,FR,Existing Customer - New Functionality,Cloud
72,GED RFI,2020-09-30 00:00:00.0000000,RFI (Request for Information),Energy,0063z000016AGU8AAO,Engie - Storengy GED - On Cloud,Enterprise Content Services,994152.81,Lost,Oil & Gas,FR,Existing Customer - New Functionality,Cloud
73,MOD APC  - Captiva + DMS - G-Cloud RFP,2020-10-12 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000012QEyuAAG,Army Personnel Centre - SARs Solution,Enterprise Content Services,967805.09,Won and Closed,Defense & Intelligence,GB,New Customer,Won and Closed
74,Health Care Service Corporation (HCSC) - Customer Communications Management,2020-08-21 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015Yrr9AAC,BH - HCSC - CCM for Medicare/Medicaid Group - OT Exstream,CEM Sales,960676.67,Dropped,Healthcare,US,Existing Customer - New Functionality,Cloud
75,iPEX - MS,2020-07-15 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000015YA6vAAG,IPEX NA- Managed Services,Business Network,952435.3,Lost,Oil & Gas,CA,New Customer,Cloud
76,Edward D. Jones & Co - Policy Management Tool,2021-01-04 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016YMTVAA4,Bear - Edward Jones- GCS/CS,Enterprise Content Services,951203.63,4. Develop Solution,Banking,US,Existing Customer/New Solution,Sales
77,Standard Bank SA DAM RFP,2020-09-15 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z0000169e3WAAQ,SBSA DAM RFP,Enterprise Content Services,925341.86,Lost,Banking,ZA,Existing Customer - New Functionality,Cloud
78,PS - BKA - Captiva Services 2021-2023,2020-12-02 00:00:00.0000000,RFP (Request for Proposal),Public Sector,006D0000010jjvEIAQ,BKA - Captiva Services 2021-2023,Professional Services,869631.0,D. Develop Solution,Government - Federal,DE,,Global Services
79,Negotiation - RFP - BKA - Captiva Services,2021-03-29 00:00:00.0000000,RFP (Request for Proposal),Public Sector,006D0000010jjvEIAQ,BKA - Captiva Services 2021-2023,Professional Services,869631.0,D. Develop Solution,Government - Federal,DE,,Global Services
80,Australia Post_Customer Comm's,2021-02-23 00:00:00.0000000,RFI (Request for Information),,0063z000016XZWqAAO,Auspost_Customer Communications,APAC Sales,868349.66,4. Develop Solution,Transportation & Distribution,AU,Existing Customer - New Functionality,Cloud
81,Hasbro Gaming Inc - Product Approval,2020-08-17 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000015ZBwqAAG,Hasbro_OTMM + MPM + Appworks License Option,CEM Sales,845037.5,Lost,Consumer Goods,US,Existing Customer - New Functionality,Sales
82,BPCE / GBi / étude new composeur,2020-10-19 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000016AcW9AAK,BPCE / GBi / étude new composeur,CEM Sales,836486.78,3. Establish Needs,Banking,FR,New Customer,Sales
83,RFI International Federation of the Red Cross Red Crescent,2020-09-08 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z0000168czqAAA,IFRC_International Federation of Red Cross,Enterprise Content Services,826825.97,3. Establish Needs,"Religious, Grantmaking & Civic Organizations",CH,Existing Customer/New Solution,Cloud
84,SAP Royality - Vorwerk - DocPresentment,2020-09-04 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000011q0TZAAY,SAP Royality - Vorwerk - DocPresentment (SBO),CEM Sales,824337.72,4. Develop Solution,Consumer Goods,DE,SAP driven by SAP,Cloud
85,Vodafone - DAM - RFP,2020-09-16 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z0000169HDpAAM,Vodafone_DAM,CEM Sales,803864.61,1. Identify Prospect,Wholesale,LU,Existing Customer/New Solution,Sales
86,ASDA - OTMM - RFP,2020-12-21 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000016Yfn9AAC,ASDA OTMM Cloud,CEM Sales,797531.27,3. Establish Needs,Retail,GB,New Customer,Cloud
87,Texas A&M University - Microfilm Digital Conversion,2020-10-13 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000016AeRvAAK,ASO-WST-Texas A&M University Microfilm RFP,Professional Services,790745.54,B. Gain Access,Education,US,,Global Services
88,Saudi Railways EDMS RFP,2020-11-23 00:00:00.0000000,RFP (Request for Proposal),Distribution & Transportation,0063z000015ZeIHAA0,DataServe_Saudi Railways Company_ECM Implementation_FF,Professional Services,785000.0,D. Develop Solution,Professional Services,SA,,Global Services
89,VIM RFP,2020-11-13 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z0000138ZlKAAU,Hermès - VIM & xECM for SAP,Enterprise Content Services,780887.03,Won and Closed,Retail,FR,New Customer,Won and Closed
90,Manitoba Department of Justice - Courts Modernization Project,2020-07-06 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000012k7WiAAI,GoM - xECM for Justice Dept.,Enterprise Content Services,780839.9,Lost,Government - State/Provincial,CA,SAP driven by SAP,Sales
91,PRA Group Inc.,2021-03-18 00:00:00.0000000,RFQ (Request for Quote),Financial Services,0063z000017cwgmAAA,PRA - DXP (WCM),CEM Sales,780003.46,5. Propose Solution,Banking,US,New Customer,Cloud
92,PRA Group Inc.- Web Content Management  solution,2021-03-22 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000017cwgmAAA,PRA - DXP (WCM),CEM Sales,780003.46,5. Propose Solution,Banking,US,New Customer,Cloud
93,Macy's - MS RTS,2021-03-24 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000012hvQMAAY,Lead Pass- Macy's MS OPP,Business Network,780000.0,5. Propose Solution,Retail,US,Existing Customer - New Functionality,Cloud
94,N-ERGIE_Output Management RFP,2021-03-17 00:00:00.0000000,RFP (Request for Proposal),Utilities,0063z000011pQ4xAAE,N-ERGIE_Output Management RFP,CEM Sales,779397.88,Lost,Utilities,DE,New Customer,Sales
95,Warner Bros. Entertainment Inc. - Digitization Strategy,2021-03-05 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,0063z0000169tmmAAA,Warner Bros. InfoArchive for Backfile Scan Project,Enterprise Content Services,773999.28,4. Develop Solution,Media & Entertainment,US,Existing Customer - New Functionality,Cloud
96,Allianz - F2M RfP - Accenture,2021-03-02 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000016CBKgAAO,Allianz - F2M RfP - Accenture,CEM Sales,760927.12,4. Develop Solution,Banking,DE,New Customer,Cloud
97,Dustin - MS,2020-10-20 00:00:00.0000000,RFI (Request for Information),,0063z000013hK3qAAE,Dustin replace FXOnline,Business Network,750479.43,Lost,High Tech,SE,New Customer,Cloud
98,Save-a-lot - MS,2020-07-06 00:00:00.0000000,RFI (Request for Information),,0063z000014xTdqAAE,Save A Lot-,Business Network,750000.0,5. Propose Solution,Professional Services,US,New Customer,Cloud
99,Save a Lot - MS,2020-09-07 00:00:00.0000000,RFP (Request for Proposal),,0063z000014xTdqAAE,Save A Lot-,Business Network,750000.0,5. Propose Solution,Professional Services,US,New Customer,Cloud
100,United States Defense Intelligence Agency - Domex Data Discovery Platform Servic,2021-03-25 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017d6DuAAI,DIA/BlackOpp/AI ML RM InfoArchive/FSI Classified,US Public Sector Sales,750000.0,2. Gain Access,Government - Federal,US,Existing Customer - New Functionality,Sales
101,Business Development Bank of canada - IAM,2020-10-27 00:00:00.0000000,RFP (Request for Proposal),,0063z000016BNuGAAW,bdc Canada IAM,Business Network,750000.0,Dropped,Banking,CA,Existing Customer - New Functionality,Cloud
102,Epsilon - Digital Asset Management Solution (DAM),2020-10-15 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,0063z000016BPRcAAO,Epsilon Enterprise OT Cloud DAM,CEM Sales,749625.0,Won and Closed,Professional Services,US,New Customer,Won and Closed
103,EXSTREAM ING DE,2020-08-19 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000014YChiAAG,Experience Platform ING DE,CEM Sales,736770.69,5. Propose Solution,Banking,DE,New Customer,Sales
104,GM Supplier Portal Expansion for DoD,2020-11-23 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z00001689CJAAY,GM Supplier Portal Expansion,Business Network,730000.0,Won and Closed,Automotive,US,Existing Customer - New Functionality,Won and Closed
105,Arkema - MS,2021-01-27 00:00:00.0000000,RFP (Request for Proposal),,0063z000016ZLfoAAG,Arkema - B2B Managed Services,Business Network,724692.5,Lost,Chemicals,FR,New Customer,Cloud
